编号	称号	名字	稀有度	种类	属性	阵营	类型	武器	所属	实装日期
001001	流星の姫君	フィオナ	★3	常驻卡	暗	人族	ATK	魔法	流星学园	2023.07.07
002001	アイスクイーン	サーシャ	★3	常驻卡	水	魔族	ATK	斩击	新星学园	2023.07.07
003001	ハローフィクサー	ヴィーナス	★3	常驻卡	光	人族	ATK	魔法	新星学园	2023.07.07
005001	氷刃の妖精	ソフィア	★2	常驻卡	水	魔族	DEF	斩击	流星学园	2023.07.07
006001	未完の魔王	クロト	★1	主角	暗	人族	ATK	打击	新星学园	2023.07.07
007001	加護の角笛	ルリエル	★2	常驻卡	光	神族	SUP	魔法	流星学园	2023.07.07
008001	ソルヴアーチャー	アナ	★3	常驻卡	火	神族	ATK	打击	新星学园	2023.07.07
009001	おちゃめな副会長	セーラ	★1	常驻卡	雷	人族	SUP	魔法	流星学园	2023.07.07
011001	コモンシールダー	マトイ	★1	常驻卡	雷	人族	DEF	斩击	新星学园	2023.07.07
013001	弱きを守る斧槍	ユウリ	★2	常驻卡	火	魔族	ATK	斩击	流星学园	2023.07.07
014001	暁の導き手	トワ先生	★2	常驻卡	水	人族	HEAL	魔法	新星学园	2023.07.07
016001	ゴーストネイバー	ヒトリ	★2	常驻卡	暗	人族	SUP	魔法	新星学园	2023.07.07
017001	烈火の料理人	蛍火	★1	常驻卡	火	魔族	ATK	斩击	新星学园	2023.07.07
018001	轟雷の華騎士	エリス	★2	常驻卡	雷	神族	ATK	斩击	流星学园	2023.07.07
019001	紫電のくノ一	せつな	★1	常驻卡	雷	魔族	SPD	魔法	新星学园	2023.07.07
020001	蒼穹の仮想歌姫	ルルカ	★1	常驻卡	水	魔族	SUP	魔法	新星学园	2023.07.07
021001	お気楽バイト天使	環	★1	常驻卡	雷	神族	ATK	斩击	新星学园/守护天使	2023.07.07
023001	淑やかシスター？	シャロン	★2	常驻卡	水	神族	SUP	打击	新星学园	2023.07.07
024001	爆裂破邪の巫女	ヨミ	★3	常驻卡	暗	魔族	SUP	魔法	新星学园	2023.07.07
025001	銀盤に舞う女王	舞亜	★1	常驻卡	水	人族	SPD	斩击	流星学园	2023.07.07
026001	虹色の魔弾使い	リーリア	★3	常驻卡	雷	魔族	ATK	打击	新星学园/星云	2023.07.07
029001	嗜虐の貴族令嬢	シャルレーヌ	★2	常驻卡	光	魔族	SUP	魔法	流星学园附属	2023.07.07
030001	クール＆クリーン	ナミエル	★3	常驻卡	水	神族	SPD	打击	流星学园附属	2023.07.07
031001	救世の錬金術師	アニマ	★3	常驻卡	雷	魔族	SUP	魔法	新星学园	2023.07.07
033001	仮面の暗黒騎士	アニュラス	★2	常驻卡	暗	人族	ATK	斩击	流星学园	2023.07.07
